"team","opponent","max2","odds","market_value","FIFA_points","UEFA_rank","UEFA_points","CL_players","max2_opponent","odds_opponent","market_value_opponent","FIFA_points_opponent","UEFA_rank_opponent","UEFA_points_opponent","CL_players_opponent","result","past_scores","past_scores_opponent","GDP","GDP_opponent","population","population_opponent","t_sne_1","t_sne_2","id"
"Switzerland","Portugal",0.25,0.194214876033058,0.0867663142544659,0.256205673758865,0.441176470588235,0.228445736774161,0,0.5,0.0392561983471074,0.388625592417062,0.711879432624113,0.205882352941176,0.425244714051161,0.357142857142857,"win",0.131868131860886,0.780219780121966,0.17194451271371,0.0524323676576405,0.0442514008954467,0.0586545771970828,-251.30114167357,-68.5747977632912,36
"Turkey","Czech Republic",1,0.328512396694215,0.126139263580022,0.468085106382979,0.294117647058824,0.322446012508303,0,0.5,0.121900826446281,0.134524243528983,0.812056737588652,0.411764705882353,0.247559126173437,0.0714285714285714,"win",0.0659340659304432,0.494505494478324,0.220875083148267,0.0464240558822926,0.536669670261594,0.0602314645341143,-421.668030253273,-73.4548134657222,37
"Austria","Croatia",0.25,0.741735537190083,0.026613197229311,0,0.558823529411765,0.146665496885458,0,0.75,0.0909090909090909,0.163689391177543,0.634751773049645,0.764705882352941,0.0705127401707045,0,"loss",0,0.164835164826108,0.106633109625892,0.00751871148064663,0.0466660096302762,0.0158463098020443,-364.612057075798,-178.966099631676,38
"Germany","Poland",0.5,0.0134297520661157,0.328472475391907,0.829787234042553,0.117647058823529,0.535475704062065,0.0714285714285714,0.25,0.328512396694215,0.05103900838498,0.460992907801418,0.705882352941177,0.0757391555015228,0,"win",0.329670329652216,0,1,0.134583687239355,0.559513417621716,0.257053754962971,-204.18832594162,383.120522723675,39
"Croatia","Germany",0.75,0.0909090909090909,0.163689391177543,0.634751773049645,0.764705882352941,0.0705127401707045,0,0.5,0.0134297520661157,0.328472475391907,0.829787234042553,0.117647058823529,0.535475704062065,0.0714285714285714,"win",0.164835164826108,0.329670329652216,0.00751871148064663,1,0.0158463098020443,0.559513417621716,173.903826840246,-87.8786924876999,40
"Austria","Poland",0.25,0.741735537190083,0.026613197229311,0,0.558823529411765,0.146665496885458,0,0.25,0.328512396694215,0.05103900838498,0.460992907801418,0.705882352941177,0.0757391555015228,0,"draw",0,0,0.106633109625892,0.134583687239355,0.0466660096302762,0.257053754962971,-347.334627151818,-176.611296034475,41
"Austria","Germany",0.25,0.741735537190083,0.026613197229311,0,0.558823529411765,0.146665496885458,0,0.5,0.0134297520661157,0.328472475391907,0.829787234042553,0.117647058823529,0.535475704062065,0.0714285714285714,"loss",0,0.329670329652216,0.106633109625892,1,0.0466660096302762,0.559513417621716,-336.528863863943,-189.52149343406,42
"Poland","Croatia",0.25,0.328512396694215,0.05103900838498,0.460992907801418,0.705882352941177,0.0757391555015228,0,0.75,0.0909090909090909,0.163689391177543,0.634751773049645,0.764705882352941,0.0705127401707045,0,"loss",0,0.164835164826108,0.134583687239355,0.00751871148064663,0.257053754962971,0.0158463098020443,-395.305459949976,-148.840751859093,43
"Romania","France",0.5,0.328512396694215,0.0980678089682829,0.668439716312057,0.176470588235294,0.43366713875694,0,0.5,0.0495867768595041,0.47028800583303,0.777482269503546,0.0882352941176471,0.584932382468322,0.5,"draw",0.0659340659304432,0.615384615295858,0.0440237824846893,0.750736059801287,0.125608931940416,0.453622617069805,-201.51789404622,94.9961372141795,44
"Netherlands","Italy",0.5,0.0805785123966942,0.325191396281444,0.704787234042553,0.235294117647059,0.403762517703385,0.142857142857143,0.75,0.0237603305785124,0.513671162960262,0.946808510638298,0.0588235294117647,0.681965733766152,0.0714285714285714,"win",0.560439560408767,0.417582417504528,0.213329464638894,0.566157726228472,0.105769556218849,0.415228226283333,-154.56425982568,107.617637202407,45
"Italy","Romania",0.75,0.0237603305785124,0.513671162960262,0.946808510638298,0.0588235294117647,0.681965733766152,0.0714285714285714,0.5,0.328512396694215,0.0980678089682829,0.668439716312057,0.176470588235294,0.43366713875694,0,"draw",0.417582417504528,0.0659340659304432,0.566157726228472,0.0440237824846893,0.415228226283333,0.125608931940416,-96.2886389158265,29.415095391158,46
"Netherlands","France",0.5,0.0805785123966942,0.325191396281444,0.704787234042553,0.235294117647059,0.403762517703385,0.142857142857143,0.5,0.0495867768595041,0.47028800583303,0.777482269503546,0.0882352941176471,0.584932382468322,0.5,"win",0.560439560408767,0.615384615295858,0.213329464638894,0.750736059801287,0.105769556218849,0.453622617069805,-238.29172578783,78.718716974364,47
"France","Italy",0.5,0.0495867768595041,0.47028800583303,0.777482269503546,0.0882352941176471,0.584932382468322,0.5,0.75,0.0237603305785124,0.513671162960262,0.946808510638298,0.0588235294117647,0.681965733766152,0.0714285714285714,"loss",0.615384615295858,0.417582417504528,0.750736059801287,0.566157726228472,0.453622617069805,0.415228226283333,-135.512321383826,106.544850651831,48
"Netherlands","Romania",0.5,0.0805785123966942,0.325191396281444,0.704787234042553,0.235294117647059,0.403762517703385,0.142857142857143,0.5,0.328512396694215,0.0980678089682829,0.668439716312057,0.176470588235294,0.43366713875694,0,"win",0.560439560408767,0.0659340659304432,0.213329464638894,0.0440237824846893,0.105769556218849,0.125608931940416,-90.9850357073142,15.0198623201725,49
"Spain","Russia",0.75,0.0340909090909091,0.561064527889172,0.88209219858156,0.0294117647058824,0.868161479940341,0.5,1,0.194214876033058,0.156398104265403,0.468085106382979,0.147058823529412,0.473159787935378,0,"win",0.230769230756551,0.131868131860886,0.36830285441966,0.578931907464232,0.312871793427759,1,-379.303401624004,421.938749002834,50
"Greece","Sweden",0.75,0.194214876033058,0.0922347794385709,0.769503546099291,0.382352941176471,0.248574329151366,0,0.25,0.328512396694215,0.148013124316442,0.473404255319149,0.647058823529412,0.0964192161630341,0,"loss",0.791208791165318,0.131868131860886,0.0584861717289791,0.146181448796479,0.0618787486272633,0.0554711936473967,-97.9671872305334,-58.5691258594418,51
"Sweden","Spain",0.25,0.328512396694215,0.148013124316442,0.473404255319149,0.647058823529412,0.0964192161630341,0,0.75,0.0340909090909091,0.561064527889172,0.88209219858156,0.0294117647058824,0.868161479940341,0.5,"loss",0.131868131860886,0.230769230756551,0.146181448796479,0.36830285441966,0.0554711936473967,0.312871793427759,-70.1152493259359,22.3834790414711,52
"Greece","Russia",0.75,0.194214876033058,0.0922347794385709,0.769503546099291,0.382352941176471,0.248574329151366,0,1,0.194214876033058,0.156398104265403,0.468085106382979,0.147058823529412,0.473159787935378,0,"loss",0.791208791165318,0.131868131860886,0.0584861717289791,0.578931907464232,0.0618787486272633,1,-19.5016124589693,-170.883636798102,53
"Greece","Spain",0.75,0.194214876033058,0.0922347794385709,0.769503546099291,0.382352941176471,0.248574329151366,0,0.75,0.0340909090909091,0.561064527889172,0.88209219858156,0.0294117647058824,0.868161479940341,0.5,"loss",0.791208791165318,0.230769230756551,0.0584861717289791,0.36830285441966,0.0618787486272633,0.312871793427759,-90.3768176320894,-13.6276531126515,54
"Russia","Sweden",1,0.194214876033058,0.156398104265403,0.468085106382979,0.147058823529412,0.473159787935378,0,0.25,0.328512396694215,0.148013124316442,0.473404255319149,0.647058823529412,0.0964192161630341,0,"win",0.131868131860886,0.131868131860886,0.578931907464232,0.146181448796479,1,0.0554711936473967,-101.228722443719,301.55904028272,55
"Portugal","Germany",0.5,0.0392561983471074,0.388625592417062,0.711879432624113,0.205882352941176,0.425244714051161,0.357142857142857,0.5,0.0134297520661157,0.328472475391907,0.829787234042553,0.117647058823529,0.535475704062065,0.0714285714285714,"loss",0.780219780121966,0.329670329652216,0.0524323676576405,1,0.0586545771970828,0.559513417621716,-236.205664663031,62.9996801912009,56
