season,matchday,match,home,guest,homegoals,guestgoals
2013/14,25,2,Borussia Dortmund,Bor. Mönchengladbach,1,2
2013/14,25,3,Werder Bremen,VfB Stuttgart,1,1
2013/14,25,4,TSG Hoffenheim,1. FSV Mainz 05,2,4
2013/14,25,5,Eintracht Braunschweig,VfL Wolfsburg,1,1
2013/14,25,6,Hertha BSC,Hannover 96,0,3
2013/14,25,7,Bayern München,Bayer 04 Leverkusen,2,1
2013/14,25,8,Hamburger SV,1. FC Nürnberg,2,1
2013/14,25,9,Eintracht Frankfurt,SC Freiburg,1,4
2013/14,24,1,FC Schalke 04,TSG Hoffenheim,4,0
2013/14,24,2,Bor. Mönchengladbach,FC Augsburg,1,2
2013/14,24,3,VfB Stuttgart,Eintracht Braunschweig,2,2
2013/14,24,4,Hannover 96,Bayer 04 Leverkusen,1,1
2013/14,24,5,VfL Wolfsburg,Bayern München,1,6
2013/14,24,6,Hamburger SV,Eintracht Frankfurt,1,1
2013/14,24,7,1. FC Nürnberg,Werder Bremen,0,2
2013/14,24,8,SC Freiburg,Borussia Dortmund,0,1
2013/14,24,9,1. FSV Mainz 05,Hertha BSC,1,1
2013/14,23,1,Hertha BSC,SC Freiburg,0,0
2013/14,23,2,Borussia Dortmund,1. FC Nürnberg,3,0
2013/14,23,3,Bayer 04 Leverkusen,1. FSV Mainz 05,0,1
2013/14,23,4,Werder Bremen,Hamburger SV,1,0
2013/14,23,5,FC Augsburg,Hannover 96,1,1
2013/14,23,6,Eintracht Braunschweig,Bor. Mönchengladbach,1,1
2013/14,23,7,Bayern München,FC Schalke 04,5,1
2013/14,23,8,TSG Hoffenheim,VfL Wolfsburg,6,2
2013/14,23,9,Eintracht Frankfurt,VfB Stuttgart,2,1
2013/14,22,1,FC Schalke 04,1. FSV Mainz 05,0,0
2013/14,22,2,Bor. Mönchengladbach,TSG Hoffenheim,2,2
2013/14,22,3,VfB Stuttgart,Hertha BSC,1,2
2013/14,22,4,1. FC Nürnberg,Eintracht Braunschweig,2,1
2013/14,22,5,SC Freiburg,FC Augsburg,2,4
2013/14,22,6,Hamburger SV,Borussia Dortmund,3,0
2013/14,22,7,VfL Wolfsburg,Bayer 04 Leverkusen,3,1
2013/14,22,8,Eintracht Frankfurt,Werder Bremen,0,0
2013/14,22,9,Hannover 96,Bayern München,0,4
2013/14,21,1,1. FSV Mainz 05,Hannover 96,2,0
2013/14,21,2,Borussia Dortmund,Eintracht Frankfurt,4,0
2013/14,21,3,Bayern München,SC Freiburg,4,0
2013/14,21,4,Werder Bremen,Bor. Mönchengladbach,1,1
2013/14,21,5,TSG Hoffenheim,VfB Stuttgart,4,1
2013/14,21,6,Eintracht Braunschweig,Hamburger SV,4,2
2013/14,21,7,Bayer 04 Leverkusen,FC Schalke 04,1,2
2013/14,21,8,FC Augsburg,1. FC Nürnberg,0,1
2013/14,21,9,Hertha BSC,VfL Wolfsburg,1,2
2013/14,20,1,Bor. Mönchengladbach,Bayer 04 Leverkusen,0,1
2013/14,20,2,VfL Wolfsburg,1. FSV Mainz 05,3,0
2013/14,20,3,Werder Bremen,Borussia Dortmund,1,5
